Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
181,-0.724,0.154,1.263,0.965,-0.027,2.285,1.892,-0.141,-0.111,-0.148,0.412,0.060,-0.302,-0.243,1.510,-1.798,0.981,-2.150,-0.885,-0.013,-0.079,0.424,0.206,-0.966,-0.762,-0.437,-0.051,-0.381,318.500,0
190,0.076,1.027,0.835,1.209,0.108,0.466,-0.331,-1.620,-0.437,0.061,-0.431,0.537,0.943,0.319,1.597,-0.328,0.017,-0.408,0.243,-0.259,1.491,-0.532,-0.180,-0.423,0.775,-0.172,0.265,0.230,20.000,0
193,-0.923,0.842,2.078,1.373,0.667,0.779,0.609,0.402,-1.088,-0.097,0.450,0.397,-0.542,0.015,-1.672,0.455,-0.567,-0.385,-1.088,-0.106,-0.127,-0.458,-0.067,-0.351,0.039,-0.291,0.059,0.090,37.200,0
194,-0.773,-0.191,2.405,-1.800,-0.397,0.199,0.258,-0.342,-0.070,1.181,1.465,-0.105,-0.233,-1.397,-1.217,0.568,0.037,-1.273,-0.090,0.436,0.235,1.448,-0.321,0.271,-0.068,-0.267,-0.127,-0.392,32.770,0
204,-0.188,0.878,-0.735,-0.913,1.942,4.037,-1.707,-2.538,-0.590,-0.763,-0.154,0.253,-0.280,0.884,1.084,0.827,-0.725,-0.001,-0.001,0.543,-0.824,-1.042,0.168,0.964,0.888,0.171,0.012,0.165,1.980,0
206,-0.371,0.600,0.217,-0.513,2.697,3.883,0.296,0.850,-0.297,0.192,-0.925,-0.369,-0.378,-0.494,-1.481,0.684,-1.048,-0.257,-0.860,0.114,-0.148,-0.176,-0.121,1.042,-0.392,0.675,0.164,-0.005,10.270,0
209,-5.852,5.267,-1.762,-1.441,-0.989,-0.672,0.076,0.774,3.580,6.511,1.276,0.837,0.377,-1.615,0.535,0.417,-0.542,0.228,-0.244,2.983,-0.911,-1.205,0.216,-0.498,1.126,0.201,2.469,1.573,8.970,0
209,-0.429,0.699,1.589,1.297,0.119,0.214,0.387,0.277,-0.483,-0.091,1.011,0.189,-1.619,0.533,-0.354,-1.013,0.534,-0.073,0.978,-0.055,0.073,0.325,-0.102,0.214,-0.251,-0.267,0.169,0.134,13.990,0
218,-1.046,0.486,1.569,0.161,0.862,0.523,0.766,0.093,-0.037,-0.185,1.063,0.376,-1.423,0.075,-1.040,-0.709,-0.034,-0.759,-0.962,-0.377,0.013,0.360,-0.076,-0.318,-0.073,-0.533,-0.241,-0.125,17.560,0
220,-0.592,0.786,2.807,2.935,-0.357,1.128,-0.225,0.515,-0.758,0.523,0.104,-0.253,-1.288,-0.076,-0.644,-0.059,0.172,0.695,1.666,0.135,-0.105,-0.217,-0.191,-0.033,-0.001,0.200,0.110,0.084,18.960,0
222,-0.353,0.976,1.603,-0.282,0.481,-0.223,0.850,-0.265,-0.283,-0.160,-0.900,0.285,1.585,-0.491,0.856,0.363,-0.937,-0.014,0.221,0.305,-0.139,-0.062,-0.232,-0.413,-0.181,0.201,0.179,-0.035,7.810,0
225,1.479,-0.551,-0.523,-0.831,-0.195,-0.289,-0.279,-0.206,-0.648,0.577,-1.763,-1.010,0.143,-0.257,-0.115,0.941,0.120,-1.189,1.335,0.131,0.071,0.211,-0.356,-0.954,0.963,0.019,-0.016,-0.006,34.000,0
225,-0.609,0.877,2.496,3.139,0.161,-0.107,0.516,-0.138,-1.035,0.852,-0.251,0.420,1.034,-0.555,0.068,-0.681,0.366,-0.584,1.052,0.555,-0.263,-0.439,-0.007,0.717,0.200,0.072,0.100,-0.137,35.110,0
227,-1.465,1.382,1.020,0.250,1.011,-1.282,1.187,-0.313,-0.702,-1.067,0.206,0.315,1.298,-1.952,0.411,0.623,0.534,0.486,-1.096,0.005,-0.038,0.083,-0.266,0.271,0.754,-0.492,-0.690,-0.329,1.000,0
237,1.260,-0.020,-1.164,0.266,2.185,3.607,-0.437,0.849,0.172,-0.019,-0.542,0.236,-0.223,0.192,-0.151,-0.101,-0.511,-0.076,0.363,-0.036,-0.182,-0.482,-0.128,1.010,0.893,-0.327,0.025,0.013,9.990,0
237,-0.473,0.480,1.529,-0.098,-0.006,-0.773,0.668,-0.030,0.058,-0.807,-0.949,0.012,-0.531,-0.150,-0.773,-0.085,-0.190,-0.574,-0.335,-0.085,-0.143,-0.414,-0.038,0.399,0.115,0.121,-0.044,0.002,32.510,0
242,-0.399,0.942,1.359,0.013,-0.192,-0.824,0.475,0.176,-0.363,-0.283,1.325,-0.396,-2.021,0.181,0.400,0.614,-0.053,0.538,0.135,-0.012,-0.222,-0.704,0.021,0.429,-0.286,0.049,0.229,0.086,2.690,0
249,-0.788,1.125,0.934,1.156,-0.029,0.489,0.067,0.775,-0.508,-0.124,0.416,0.216,-1.400,0.765,-0.357,-0.746,0.502,0.119,1.139,-0.023,0.026,0.204,-0.129,-0.320,-0.095,-0.214,0.292,0.121,13.280,0
265,-0.294,-0.044,1.093,-1.576,-0.107,-0.791,0.291,-0.093,-1.406,0.061,-0.464,-0.111,0.566,-0.045,0.383,-1.458,-0.035,0.466,-1.726,-0.452,-0.236,-0.286,0.069,0.108,-0.385,0.866,-0.018,0.040,24.840,0
265,-0.561,0.509,1.428,1.262,0.617,-0.227,0.408,0.078,-0.332,-0.328,-0.667,0.265,-0.046,0.030,0.006,-1.110,0.506,-0.708,0.438,0.061,0.063,0.309,-0.037,0.099,-0.259,-0.319,0.185,0.168,13.080,0
265,-0.491,0.907,1.645,-0.084,-0.196,-0.710,0.559,0.116,-0.538,-0.122,1.333,0.242,-0.961,0.526,0.229,0.377,-0.520,0.186,0.231,0.063,-0.168,-0.517,0.019,0.492,-0.278,0.044,0.253,0.112,9.030,0
266,-2.565,2.471,2.649,-1.564,1.794,-0.615,4.186,-3.855,5.437,8.737,1.683,-1.310,-0.052,-4.891,1.608,-1.666,-2.436,-1.169,-0.428,3.564,-1.673,-0.463,-0.532,0.306,0.227,-0.365,-0.937,-2.734,10.350,0
267,0.992,-0.658,1.029,0.333,-1.234,-0.322,-0.445,-0.022,1.067,-0.529,-0.656,1.019,0.823,-0.695,-0.379,-0.143,0.099,-0.716,0.426,0.207,-0.156,-0.406,-0.030,0.495,0.123,0.928,-0.050,0.036,122.360,0
271,-0.690,1.086,1.261,-0.387,0.024,-1.139,0.752,-0.027,-0.033,-0.560,-0.612,-0.987,-1.679,-0.132,0.649,0.673,-0.158,0.008,-0.719,-0.101,-0.230,-0.747,0.011,0.283,-0.450,-0.087,0.183,0.202,5.990,0
272,0.867,-1.102,0.609,0.827,-1.246,0.072,-0.509,0.087,-0.465,0.644,-0.852,-0.434,-0.769,0.080,0.601,-1.670,0.300,0.941,-1.484,-0.240,-0.243,-0.557,-0.110,0.026,0.264,-0.324,0.043,0.064,208.380,0
273,1.124,-0.133,0.588,0.805,-0.726,-0.522,-0.167,0.059,0.368,-0.002,1.015,0.597,-1.346,0.383,-0.792,-0.086,-0.076,-0.133,0.431,-0.140,-0.165,-0.447,0.018,0.549,0.347,0.240,-0.039,0.007,32.510,0
273,-0.793,0.274,2.612,1.213,-0.225,-0.595,-0.251,0.163,0.039,-0.402,-0.486,0.157,-0.009,-0.224,0.761,-0.227,0.003,0.219,0.377,0.145,0.136,0.381,-0.021,0.706,-0.234,-0.377,0.165,0.155,6.510,0
275,-0.364,0.055,1.858,-1.085,-0.982,-0.473,0.211,0.023,-1.642,0.287,1.299,0.498,0.448,0.076,0.153,-1.035,-0.338,1.508,-0.441,-0.260,-0.408,-0.908,0.248,0.493,-0.525,0.340,0.011,0.061,70.330,0
279,-0.365,1.104,1.290,0.070,0.043,-0.985,0.727,-0.081,-0.417,-0.519,-0.187,-0.005,0.259,-0.455,0.880,0.376,0.001,-0.153,-0.094,0.141,-0.257,-0.679,0.001,0.337,-0.153,0.071,0.244,0.099,8.990,0
283,-0.530,0.767,1.759,-1.160,-0.501,-1.405,0.679,-0.243,0.521,-0.117,-0.000,-0.320,-0.886,-0.177,0.606,0.427,-0.568,-0.497,-0.983,0.138,-0.163,-0.219,0.017,0.934,-0.327,0.668,0.114,-0.091,2.310,0
297,1.146,0.004,0.772,0.917,-0.569,-0.282,-0.162,-0.025,0.479,-0.291,-0.119,1.136,0.735,-0.330,-0.246,-0.765,0.427,-1.230,-0.302,-0.098,-0.046,0.174,-0.015,0.481,0.461,0.417,0.008,0.015,12.310,0
298,1.331,-0.716,-0.006,-0.528,-0.880,-0.676,-0.462,-0.043,-0.439,0.589,-0.636,-1.546,-2.160,0.262,0.258,0.335,1.024,-1.845,0.462,-0.073,0.169,0.416,-0.132,0.068,0.634,-0.031,-0.012,0.000,36.000,0
300,0.007,1.240,0.417,0.530,0.942,-0.560,1.503,-0.752,0.013,1.619,1.238,0.446,0.156,-0.153,0.076,-0.571,-0.861,0.330,0.745,0.557,-0.047,0.721,-0.142,0.020,-0.666,-0.490,0.158,-0.332,1.910,0
302,1.074,-0.170,0.791,1.129,-0.586,0.071,-0.415,0.058,0.503,-0.037,-1.178,-0.026,0.451,-0.090,1.464,0.925,-1.017,0.606,-0.415,0.087,0.100,0.148,-0.185,-0.461,0.424,-0.318,0.046,0.047,90.000,0
303,1.254,1.218,-2.149,1.156,1.814,-0.238,0.624,-0.060,-0.739,-1.448,1.662,0.273,0.801,-3.395,0.634,1.299,2.195,1.725,-0.400,0.042,-0.210,-0.464,-0.371,-1.645,0.963,-0.201,0.056,0.072,2.950,0
307,1.169,-0.032,1.012,1.354,-0.876,-0.321,-0.443,0.053,0.868,-0.155,-0.926,0.133,-0.561,-0.167,0.116,-0.070,-0.157,0.067,-0.229,-0.174,0.084,0.452,-0.134,0.408,0.633,-0.214,0.056,0.029,9.970,0
317,1.384,-0.729,0.562,-0.902,-0.832,0.299,-1.087,0.112,-0.392,0.551,-0.900,-0.672,0.834,-0.550,1.397,1.452,-0.038,-1.031,0.224,0.130,0.355,1.020,-0.204,-0.844,0.493,0.039,0.054,0.015,19.990,0
328,-4.236,-4.460,1.382,1.117,6.044,-3.498,-2.741,0.372,-0.214,-0.242,-1.682,0.605,1.703,0.075,0.565,0.515,-1.185,0.382,-0.280,1.394,0.397,-0.433,0.613,-1.016,0.630,-0.498,-0.095,0.208,2.500,0
333,-1.686,-1.509,1.258,-0.115,0.749,-0.820,0.120,0.216,0.016,-0.651,0.438,0.569,-0.355,0.083,-0.997,0.623,-0.898,0.531,-0.420,0.648,0.368,0.307,0.686,-0.004,-0.545,0.172,0.011,0.214,216.000,0
339,0.503,0.930,-0.858,2.043,-1.506,-1.000,-1.991,0.461,-1.124,-1.975,2.946,-2.150,-0.646,-2.239,0.292,-2.213,-5.400,-1.445,0.368,0.167,0.380,-0.062,-0.012,0.480,0.532,-0.441,0.461,0.220,2.000,0
339,1.203,-1.465,0.703,-1.463,-1.463,0.495,-1.369,0.237,-1.938,1.455,1.711,0.189,0.906,-0.310,0.609,-0.554,0.665,-0.140,-0.907,-0.171,0.104,0.576,-0.034,-0.279,0.146,-0.072,0.068,0.026,98.000,0
340,1.195,0.195,0.618,0.650,-0.475,-0.716,-0.027,-0.073,0.057,-0.103,0.254,0.428,-0.015,0.337,1.287,-0.073,-0.011,-1.067,-0.598,-0.153,-0.212,-0.590,0.210,0.388,0.093,0.105,-0.014,0.018,0.990,0
346,1.508,-1.093,0.360,-1.771,-0.914,0.679,-1.380,0.148,-1.970,1.519,0.578,0.157,1.954,-0.597,0.336,0.034,-0.095,0.577,-0.078,-0.234,-0.047,0.361,-0.138,-1.122,0.438,-0.022,0.073,0.003,6.000,0
351,1.205,0.008,0.954,1.141,-0.491,0.297,-0.504,0.085,0.796,-0.232,-1.368,0.742,1.187,-0.609,0.129,0.275,-0.610,0.088,0.096,-0.036,-0.104,-0.046,-0.124,-0.430,0.559,-0.360,0.077,0.032,12.990,0
353,1.136,0.084,0.270,1.210,0.005,0.318,-0.083,0.191,0.158,0.063,0.751,0.743,-0.847,0.381,-0.694,-0.398,-0.067,-0.290,0.049,-0.204,-0.077,-0.063,-0.111,-0.306,0.652,-0.308,0.030,0.002,12.870,0
357,-0.712,1.547,1.800,2.489,0.450,1.074,0.309,0.451,-1.560,1.231,1.738,0.568,0.247,0.402,1.077,-0.410,0.269,-0.562,0.385,0.357,-0.115,-0.137,0.053,-0.328,-0.531,0.006,0.516,0.250,0.750,0
360,1.295,0.297,0.069,0.573,-0.166,-0.781,0.031,-0.133,0.166,-0.263,-0.655,-0.281,-0.316,-0.193,1.203,0.665,-0.164,-0.046,0.009,-0.106,-0.331,-0.981,0.071,-0.211,0.267,0.130,-0.028,0.024,0.890,0
368,1.239,0.103,0.372,0.440,-0.370,-0.509,-0.129,0.031,-0.011,0.139,0.986,0.312,-0.912,0.655,0.487,0.651,-0.724,0.207,0.302,-0.148,-0.241,-0.791,0.098,-0.035,0.190,0.101,-0.041,0.003,1.980,0
373,-1.254,0.322,1.785,-0.307,1.009,-0.998,0.328,0.131,-0.485,-1.028,-0.198,-0.360,-0.663,-0.228,0.872,0.353,0.114,-0.543,-1.038,0.033,-0.161,-0.779,-0.025,0.001,0.155,0.042,-0.020,0.081,1.790,0
377,1.167,0.027,0.514,0.861,-0.519,-0.681,0.075,-0.188,0.345,-0.232,-0.533,0.879,0.726,-0.212,-0.290,-0.314,-0.010,-0.800,0.202,-0.002,-0.203,-0.441,-0.026,0.453,0.467,0.263,-0.024,0.021,40.830,0
379,-1.896,-1.829,1.181,3.898,-1.686,1.976,-0.564,-2.400,-0.979,-0.285,0.285,0.592,-0.654,0.511,-0.545,0.310,0.259,0.660,0.979,2.539,-0.936,-0.517,-0.912,0.025,0.657,0.201,-0.089,0.340,881.130,0
383,-0.908,1.622,0.036,0.526,0.344,-0.814,1.286,-0.513,0.650,2.375,1.277,-0.157,-1.346,0.086,0.256,-0.596,-0.625,0.376,0.584,0.593,-0.119,0.640,0.022,0.297,-0.651,-0.530,-0.042,-0.491,17.990,0
383,-0.672,1.287,1.575,-0.290,0.602,-0.400,1.466,-0.792,0.747,1.206,0.452,-0.300,0.051,-1.459,1.306,-0.303,-0.159,-0.753,-0.526,0.746,-0.536,-0.530,-0.113,0.014,-0.184,0.002,-0.066,-0.621,16.000,0
391,-0.830,0.430,1.304,1.041,0.822,0.845,0.590,0.046,-0.149,0.311,0.179,-0.315,-1.510,0.182,-0.158,-0.784,0.037,0.243,1.442,-0.059,-0.075,0.096,-0.139,-0.860,0.121,-0.205,-0.292,-0.059,27.700,0
399,1.092,0.069,1.230,2.554,-0.454,0.916,-0.701,0.397,0.308,0.475,-1.411,-0.509,-0.971,-0.199,0.110,0.542,-0.274,-0.333,-0.991,-0.217,-0.098,-0.178,0.007,-0.504,0.256,0.022,0.049,0.027,15.190,0
410,-0.355,1.156,1.312,0.062,0.114,-0.990,0.728,-0.106,-0.486,-0.525,-0.105,0.254,0.740,-0.552,0.826,0.352,-0.026,-0.215,-0.095,0.155,-0.256,-0.640,-0.023,0.351,-0.139,0.070,0.250,0.100,0.890,0
413,-1.076,1.101,0.579,-0.459,0.600,0.161,0.573,0.275,-0.581,0.122,0.189,0.889,1.490,0.065,0.079,0.688,-1.157,0.620,0.705,0.372,-0.075,-0.016,-0.267,-0.982,-0.009,0.266,0.158,-0.059,40.000,0
